"Kohlberg's stages of moral development","Six identifiable developmental stages of moral reasoning, which form the basis of ethical behavior. The pre-conventional (level 1) contains the first stage (obedience and punishment orientation) and second stage (self-interest orientation). The conventional (level 2) contains the third stage (interpersonal accord and conformity) and fourth stage (authority and social-order maintaining orientation). The post-conventional (level 3) contains the fifth stage (social contract orientation) adn sixth stage (universal ethical principles)."
"language","symbolic system that is codified for communication"
"language acquisition","process by which infants learn to understand and speak their native language"
"language acquisition device","innate feature unique to the human mind that allows people to gain mastery of language from limited exposure during sensitive developmental years in early childhood, as hypothesized by Noam Chomsky"
"latency stage","fourth of Freud's five psychosexual stages; in this stage sexual interest subsides and is replaced by interests in other areas such as school, friends, and sports"
"latent content","according to Freud, the unconscious drives and wishes that are difficult to express and underlie dreams"
"latent functions","unintended or less recognizable consequences or a social structure; can be considered beneficial, neutral, or harmful"
"latent learning","learning that takes place in the absence of any observable behavior to show that it has occurred. This learning can later manifest and be demonstrated as observable behavior when it is required"
"learned helplessness","condition where one has learned to behave helplessly, failing to respond even though there are opportunities to avoid unpleasant circumstances or gain positive rewards"
"libido","according to psychoanalytic theory, the libido is the life instinct, which drives behaviors focused on survival, growth, creativity, pain avoidance, and seeking pleasure"
"life expectancy","number of years that an individual at a given age can expect to live at present mortality rates"
"linguistic relativity hypothesis","asserts that the language one speaks determines their thoughts and perceptions of the world"
"long-term memory","information that is retained long-term, potentially indefinitely; it is believed to have an infinite capacity"
"long-term potentiation","persistent increase in synaptic strength between two neurons that occurs following brief periods of their stimulation. Leads to increase sensitivity of neurons recently stimulated. Believed to play a role in learning and the consolidation of memory from short-term memory to long-term memory"
"looking glass self","idea that a person's sense of self develops from interpersonal interactions with others in society and the perceptions of others. According to this idea, people shape their self-concepts based on their understanding of how others perceive them"
"Lutenizing Hormone (LH)","tropic hormone produced by the anterior pituitary gland that targets the gonads. In females, LH triggers ovulation and the development of the corpus luteum during the menstrual cycle; in males, LH stimulates the production and release of testosterone"
"major depressive disorder","characterized by one or more major depressive episodes, where a person has felt worse than usual for most of the day, nearly every day, for at least two weeks"
"manic episode","experience of an abnormal euphoric, unrestrained, or irritable mood, with at least three of the following symptoms: grandiose, exaggerated, or delusional self-esteem, high energy with little need for sleep, increased talkativeness and pressured speech, poor judgment; increased psychomotor and goal directed activity, and distractability with flight of ideas or racing thoughts"
"manifest content","according to Freud, the overt storylines of dreams"
"manifest functions","intended and obvious consequences of a social structure"
"Karl Marx","closely identified with conflict theory, Marx argued that societies progress through class struggle between those who own and control production and those who labor and provide the manpower for production. He believed that capitalism produced internal tensions which would ultimately lead to self-destruction of capitalist society, to be replaced by socialism. Karl Marx, along with Emile Durkheim and Max Weber, is considered a founding father of sociology"
"Maslow's Hierarchy of Needs","Abraham Maslow sought to explain human behavior by creating a heirarchy of needs (pyramid). At the base of this pyramid are physiological needs, or the basic elements necessary to sustain human life. In order, the rest of the needs include: safety, love and belongingness, esteem, and self-actualization. Lower level needs must be met before higher level needs"
"master status","the one status that dominates the other statuses and determines that individual's general position"
"material culture","consists of the physical objects that are particular to a culture, which helps to explain the relationship between artifacts and social relations"
"matriarchy","social system where females (especially mothers within families) are the primary authority figures"
"matrilineal descent","system of lineage in which the relatives on the mother's side are considered most important; an individual belongs to their mother's lineage"
"mechanoreceptor","sensory receptor that responds to mechanical disturbances, such as shape changes (being squashed, bent, pulled). Mechanoreceptors include touch receptors in the skin, hair cells in the ear, muscle spindles, and others"
"meditation","mindfulness technique for training attention in a particular way; may involve intense focus on one object of attention or broad attention to a field of awareness"
"medulla oblongata","portion of the hindbrain that controls respiratory rate and blood pressure, and specialized digestive and respiratory functions such as vomiting, sneezing, and coughing"
"melatonin","hormone produced by the pineal gland that affects sleep/wake cycles and seasonal functions"
"meninges","protective connective tissue wrappings of the central nervous system (dura mater, arachnoid mater, and pia mater)"
"mental set","tendency to fixate on ideas and solutions that have worked in the past, even if they may not apply to the current situation"
"mere exposure effect","phenomenon where people develop a preference for things because they have been exposed to them (sometimes repeatedly)"
"mere presence","most basic level of interaction between individuals; when people are simply in each other's presence, either completing similar activities or just minding their own business"
"meritocracy","social stratification where people's social standing are judged based on merit (or personal effort) alone; this is an idealized system -- no society solely stratifies based on effort"
"method of loci","memory device that involves imagining moving through a familiar place, such as your home, and in each place, leaving a visual representation or a topic to be remembered"
"midbrain","portion of the brain responsible for visual and auditory startle reflexes"
"Stanley Milgram","conducted research on obedience where he asked subjects to administer a shock to what they thought was another subject (but was just an actor), and he monitored the degree of subjects' compliance or obedience"
"Mindfulness-based stress reduction (MBSR)","Protocol involving mindfulness meditation shown to be effective for helping individuals with pain, stress, and anxiety"
"mindguarding","pressure to conform within a group causes individuals to censor their own opinions in favor of consensus, which creates an illusion of unanimity"
"mirror neurons","neurons that fire when a particular behavior or emotion is observed in another. May be responsible for vicarious emotions and a foundation for empathy"
"misinformation effect","tendency to misremember an event, particularly when misleading information is presented between the event and the mental encoding of the event"
"mnemonic","any memory technique used to promote the retention and retrieval of information"
"modeling","mechanism behind observational learning in which an observer sees a behavior being performed by another person. This model is utilized to allow the observer to later imitate the behavior"
"monogamy","form of marriage in which two individuals are married only to each other"
"mood","person's sustained internal emotion that colors his/her view of life"
"mood-dependent memory","when learning occurs during a particular emotional state, it is most easily recalled when one is again in that emotional state"
"mood disorder","characterized by a persistent pattern of abnormal mood serious enough to cause significant personal distress and/or significant impairment to social, occupational, or personal functioning"
"mores","norms that are highly important for the benefit of society and so are often strictly enforced. Mores are generally (but not always) formal norms"
"moro reflex","startle reflex, in response to a loud sound or sudden movement, and infant will startle; the baby throws back its head and extends its arms and legs, cries, then pulls the arms and legs back in. This reflex is present at birth, and lasts until about six months"
"mortality","death rate in a population"
"multiculturalism (pluralism)","perspective that endorses equal standing for all cultural traditions. It promotes the idea of cultures coming together in a true melting pot, rather than in a hierarchy"
"multipolar neuron","neuron with a single axon and multiple dendrites; the most common type of neuron is the nervous system"
"myelin","insulating layer of membranes wrapped around the axons of almost all neurons in the body. Myelin is essentially the plasma membranes of specialized cells. In the PNS they are Schwann cells and in the CNS they are oligodendrocytes"
"narcisstic personality disorder","psychological disorder characterized by feeling of grandiosity, with fantasies of beauty, brilliance, and power"
"narcolepsy","sleep disorder in which the individual experiences periodic, overwhelming sleepiness during waking periods that usually last less than five minutes"
"negative feedback","biological process that works by maintaining stability or homeostasis; a system produces a result, which feeds back to stop the system and maintain the result within tightly controlled bounds"
"negative punishment","removal of a positive or rewarding stimulus following a behavior. Tends to increase the frequency of that behavior"
"negative reinforcement","removal of a negative or aversive stimulus following a behavior and tends to increase the frequency of that behavior"
"neutral stimulus","stimulus that doesn't elicit any intrinsic response in the absence of outside interference"
"neural plasticity","process that refers to the malleability of the brain's pathways and synapses based on behavior, the environment, and neural processes"
"neuron","basic functional and structural unit of the nervous system. Neuron is highly specialized cell designed to transmit action potentials"
"neurotransmitter","chemical released by the axon of a neuron in response to an action potential that binds to receptors on the postsynaptic cell and causes that cell to either depolarize slightly (EPSP) or hyperpolarize slightly (IPSP). Examples are ACth, norepinephrine, GABA, dopamine, and others."
"night terror","usually occur during stage 3 sleep, unlike nightmares. The individual may sit up or walk around, babble, and appear terrified, although none of it is remembered the next morning"
"nocireceptors","pain receptors that are found everywhere in the body except the brain"
"nodes of Ranvier","gaps in the myelin sheath of the axons of peripheral neurons. Action potentials can ""jump"" from node to node, thus increasing the speed the conduction (saltatory conduction)."
"nonassociative learning","learning that occurs in the absence of associating specific stimuli or events. Two types are habituation and sensitization"
"nonverbal communication","involves all of the methods for communication that we use that do not include words"
"norepinephrine (NE)","neurotransmitter used by the sympathetic division of the autonomic nervous system at the post-ganglionic (organ-level) synapse"
"normative social influence","when the motivation for compliance is a desire for the approval of others and to avoid rejection"
"normative organizations","an organization where membership is based on morally relevant goals"
"norms","visible and invisible rules of social conduct within a society. Norms help define what types of behaviors are acceptable and in accordance with a society's values and beliefs. Formal norms are generally written down; laws are examples of formal norms. Informal norms are generally understood but are less precise and often carry no specific punishments"
"nucleus accumbens","structure located in the brainstem and part of the dopaminergic reward pathway. Releases dopamine in response to many drugs, contributing to addictive behavior"
"object permanence","understanding that things continue to exist once they are out of sight"
"observational learning (vicarious, social learning)","type of learning that occurs when a person watches another person's behavior and its consequences, thereby learning rules, strategies, and expected outcomes in different situations"
"obsessive-compulsive disorder (OCD)","characterized by obsessions (repeated, intrusive, uncontrollable thoughts or impulses that cause distress or anxiety), compulsions (repeated physical or mental behaviors that are done in response to an obsession or in accordance with a set of strict rules, in order to reduce distress or prevent something dreaded from occurring), or both"
"obsessive-compulsive personality disorder (OCPD)","characterized by accumulation of money of worthless objects"
"Oedipus complex","complex occurs during phallic stage (3rd stage) of Freud's five psychosexual stages) when a male child is sexually attracted to his mother and hostile toward his father, who is seen as a rival"
"olfactory receptors","chemoreceptors in the upper nasal cavity that respond to odor chemicals"
"operant conditioning","instrumental conditioning - a form of associative learning based on consequences, in which rewards increase the frequency of behaviors associated with them and punishments decrease their frequency"
"optic disk","blind spot of the eye, this is where the axons of the ganglion cells exit the retina to form the optic nerve. There are no photoreceptors in the optic disk"
"optic nerve","nerve extending from the back of the eyeball to the brain that carries visual information and is made up of axons of the ganglion cells of the retina"
"optimism bias","belief that bad things happen to other people but not to us"
"oral stage","first of Freud's psychosexual stages, in which the child seeks sensual pleasure through oral activities such as sucking and chewing"
"organ of Corti","structure in the Cochlea of the inner ear made up of the basilar membrane, the auditory hair cells, and the tectorial membrane. The organ of Corti is the site where auditory sensation is detected and transduced to action potentials"
"organization","large group, more impersonal than a network, that comes together to pursue particular activities and meet goals efficiently"
"ossicles","three small bones found in the middle ear (malleus, incus, stapes) that help to amplify the sound vibration from sound waves. The malleus is attached to the tympanic membrane and the stapes is attached to the oval window of the cochlea"
"out-group","group that an individual does not belong to"
"outer ear","portion of the ear consisting of the pinna and the external auditory canal. The outer ear is separated from the middle ear by the tympanic membrane (the ear drum)"
"oval window","membrane that separates the middle ear from the inner ear"
"overconfidence","overestimations of the accuracy of one's knowledge and judgments"
"pain disorder","characterized by clinically important pain whose onset or severity seems significantly affected by psychological factors"
"palmar grasp reflex","in response to stroking a baby's palm, the baby's hand will grasp and the reflex lasts a few months"
"panic disorder","characterized by panic attacks, which can be cued by a certain situation, but are more often uncued or ""spontaneous,"" occurring frequently and unexpectedly"
"parallel processing","system whereby many aspects of a stimulus are processed simultaneously instead of in a step-by-step or serial fashion"
"posterior pituitary gland","neurohypophysis, made of nervous tissue (neurons) and stores and secretes two hormones made by the hypothalamus: oxytocin and ADH. The posterior pituitary is controlled by action potentials from the hypothalamus"
"postganglionic neuron","autonomic division of the PNS, a neuron that has its cells body located in an autonomic ganglion (where a preganglionic neuron synapses with it), and whose axon synapses with the target organ"
"prefrontal cortex","aneterior part of the frontal lobes of the brain involved in complex behaviors such as planning, sequencing, social responses, and decision making. Directs behavioral aspects of emotion including approach and avoidance behaviors. Damage to this area may lead to inappropriate social behavior, impulsivity, and trouble with initiation"
"preganglionic neuron","autonomic division of the PNS, and the neuron has its cell body located in the CNS, and whose axon extends into the PNS to synapse with a second neuron at an autonomic ganglion (second neuron's axon synapses with the target organ)"
"prejudice","thoughts, attitudes, and feelings someone holds about a group that are not based on actual experience; a prejudgment or biased thinking about a group and its members"
"preoperational stage","Piaget's second stage in his developmental theory from ages 2 to 7. During this stage, the children learn to pretend play and the idea that a symbol can represent something else and they remain egocentric"
"primary groups","groups that play a more important role in an individual's life (often meeting emotional needs); these groups are usually smaller and include those with whom the individual engages with in person, in long-term, emotional ways"
"primacy effect","tendency to better recall the first items in a list"
"primary reinforcers","unconditioned consequences that are insanely satisfying or desirable and may be biologically driven"
"priming","effect of implicit memory whereby exposure to a given stimulus ""primes"" or prepares the brain to respond to a later stimulus"
"principle of aggregation","idea that an attitude affects a person's aggregate or average behavior, but cannot necessarily predict each isolated act"
"prison study (Stanford prison study)","experiment conducted by Philip Zimbardo designed to elucidate the extreme effects of role-playing on human behavior. 24 male students were isolated and asked to play the roles of prisoners and guards; the participants adapted to their roles well beyond Zimbardo's expectations. The ""guards"" enforced extreme measures, including psychological torture, and many of the prisoners passively accepted psychological abuse and readily harassed other prisoners who attempted to prevent it"
"proactive interference","type of memory interference that occurs when previously learned information interferes with the recall of information learned more recently"
"progesterone","steroid hormone produced by the corpus luteum in the ovary during the second half of the menstrual cycle. Progesterone maintains and enhances the uterine lining for the possible implantation of a fertilized ovum. It is the primary hormone secreted during pregnancy"
"projection bias","occurs when we assume others have the same beliefs we do, due to our tendency to look for similarities between ourselves and others"
"prolactin","hormone secreted by the anterior pituitary that targets the mammary glands, stimulating them to produce milk"
"proprioceptor","receptor that responds to changes in the body position, such as stretch on a tendon, or contraction of a muscle. The receptors allow us to be consciously aware of the position of our body parts"
"prospective memory","remembering to do something in the future"
"psychoanalytic theory","according to this theory, personality is shaped by a person's unconscious motives, and to gain insight into the emotional issues and conflicts that are causing difficulties"
"psychological disorder","set of behaviors and/or psychological symptoms that are not in keeping with cultural norms, and that are severe enough to cause significant personal distress and/or significant impairment to social, occupational, or personal functioning"
"psychological fixation","according to Freud, adult personality is largely determined during the first three psychosexual stages. If parents either frustrate or overindulge the child's expression of sensual pleasure at a certain stage so that the child doesn't resolve that stage's developmental conflicts, the child becomes fixated at that stage, and will, as an adult, continue to seek sensual pleasure through behaviors related to that stage"
"psychosexual stages","According to Freud's psychoanalytic theory, individuals progress through five psychoseuxal stages, one corresponding to the part of the body that is the focus of sensual pleasure. The five stages are oral, anal, phallic, latent, and genital"
"punishment","in operant conditioning, a consequence that decreases the likelihood that a preceding behavior will be repeated and types include positive and negative punishment"
"pupil","hole in the center of the iris of the that allows light to enter the eyeball. The diameter of the pupil is controlled by the iris in response to the brightness of the eye"
"race","biological, anthropological, or genetic origin of an individual, and includes the following U.S. Census categories: White, Black, or African American, American Indian, or Alaska Native, Asian, and Native Hawaiian or Other Pacific Islander"
"racism","prejudices and discriminatory actions that are based on race (or ethnicity), or hold that one race (or ethnicity) is inferior to another"
"rapid-eye movement (REM)","bursts of quick eye movements present in the last stage of sleep"
"rational - legal authority","form of leadership that is organized around rational legal rules"
"recall","retrieving information from memory and involves retrieval without any cues, whereas cued recall prompts retrieval with a cue"
"recency effect","tendency to recall the last items presented in a list"
"reciprocal determination","reciprocal interaction between a person's behaviors (conscious actions), personal factors (cognitions, motivations, personality), and environmental factors"
"recognition","retrieving information from memory with the use of cues, such as multiple-choice format"
"reference group","group that serves as a standard measure that people compare themselves to, such as a peer group"
"reflex","automatic behaviors that occur without thinking"
"reflex arc","relatively direct connection between a sensory neuron and a motor neuron that allows an extremely rapid response to a stimulus, often without conscious brain involvement"
"rehearsal","technique of repeating verbal information in one's phonological loop to promote the encoding of sensory information into memory"
"reinforcement","consequence that increases the likelihood that a preceding behavior will be repeated. Two types are positive and negative reinforcement"
"reinforcement schedule","frequency and regularity with which rewards are offered. Schedules can be based on a number of target behaviors (ratio) or on a time interval (interval). Types include fixed-ratio, variable-ratio, fixed-interval, and variable interval"
"relative poverty","an inability to meet the average standard of living within a society"
"relative refractory period","period of time following an action potential when it is possible, but difficult, for the neuron to fire a second action potential, due to the fact that the membrane is further from threshold potential (hyperpolarized)"
"relearning","process of learning material that was originally learned"
"religiosity","extent that religion influences a person's life"
"REM stage","Final stage of sleep characterized by rapid eye movements (REM) and beta waves, which are seen in individuals when they are awake. Despite these wave patterns, however, the sleeper is paralyzed aside from small twitches, leading to the descriptions of this stage as ""paradoxical sleep."" This is generally when dreams occur."
"replacement level fertility","number of children that a woman or couple must have in order to replace the number of the people in the population who die"
"representativeness heuristic","mental shortcut where one judges the likelihood of things based on typical mental representations or examples of those things"
"residential segregation","separation of groups into different neighborhoods; separation most often occurs due to racial difference, ethnic differences, and/or socieconomic. Residential segregation is not based on laws, but rather enduring social patterns, which are attributed to suburbanization, discrimination, and personal preferences"
"residual-type SCZ","where acute phase of SCZ has resolved and the criteria for SCZ are no longer met, but some symptoms are still present in mild forms"
"resource model of attention","since attention is a limited resource, if multiple tasks do not exceed this limit, they can be done simultaneously. If they do, they they interfere with each other an dare difficult to do simultaneously"
"retention interval","amount of time elapsed since information was learned and when it must be recalled"
"reticular formation","Reticular Activating System and structures in the brainstem that are important for alterness and arousal (as in wakefulness)"
"retina","innermost layer of the eyeball and is made up of photoreceptors, bipolar cells, and a layer of ganglion cells"
"retroactive interference","type of memory interference that occurs when newly learned information interferes with the recall of information learned previously"
"retrograde amnesia","occurs when one is unable to recall information that was previously encoded"
"rods","photoreceptors of the retina of the eye that respond to dim light and provide us with black and white vision"
"Carl Rogers","the founder of humanistic psychology perspective, pioneered the person-centered approach to therapy"
"role conflict","occurs when there is a conflict in society's expectations for multiple statuses held by the same person (example: male nurse)"
"role exit","process of disengaging from a role that has become closely tied to one's self-identity to take on a new role"
"role strain","occurs when a single status results in conflicting expectations (for example a homosexual man may feel pressure to avoid being too gay or not being gay enough)"
"rooting reflex","in response to touching or stroking one of a baby's cheeks, the baby will turn its head in the direction of the stroke and open its mouth to ""root"" for a nipple"
"saltatory conduction","rapid form of action potential conduction along the axod of a neuron in which the action potential appears to jump from node of Ranvier to node of Ranvier"
"sanctions","rewards and punishments for behaviors that are in accord with or against norms"
"Sapir-Whorf Hypothesis","hypothesis asserts that people understand their world through language and that language, in turn, shapes how people experience their world"
"scapegoat","people or group who are unfairly blamed for something, or at whom displaced aggression is directed"
"Schacter-Singer theory","theory of emotion that asserts that the experience of physiological arousal occurs first and is followed by a conscious cognitive interpretation or appraisal that allows for the identification of the experience emotion"
"schemas","mental frameworks or blueprints that shape and are shaped by experience"
"schizoaffective disorder","characterized by the combination of mood and psychotic symptoms: in this disorder, both the symptoms of SZC and Major depressive, manic, or mixed episode are experienced for at least one month"
"schizoid personality disorder","characterized by little interest or involvement in close relationships, even those with family members"
"SCZ","disorder that is chronic and incapacitating and is characterized by psychosis and material impairment in social, occupational, or personal functioning"
"schizophreniform disorder","characterized by symptoms of SCZ present for a period of one to six months, during which the symptoms may or may not have interfered with functioning"
"schizotypal personality disorder","characterized by several traits that cause problems interpersonally, including constricted or inappropriate affect; magical or paranoid thinking; and odd beliefs, speech, behavior, appearance, and perceptions"
"Schwann cell","one of the two peripheral nervous system supporting (glial) cells. Schwann cells form the myelin sheath on axons of peripheral neurons"
"sclera","white portion of the tough outer layer of the eyeball"
"secondary group","larger and more impersonal group than a primary group, which usually interacts for specific reasons for relatively short periods of time; these groups serve pragmatic needs"
"secondary reinforcers","conditioned reinforcers that are learned through their direct or indirect relationship with primary reinforcers. For example, money is a secondary reinforcer; it is not innately rewarding but we have learned that it can provide access to primary reinforcers"
"sect","religious organization that is distinct from the parent religion from which it was formed"
"secure attachment","style of relating to others that forms when an infant has caregivers who are sensitive and responsive to needs. In Ainsworth's experiments, securely attached infants were found to be willing to explore surroundings in the presence of the mother. They were upset but consolable when the mother left and then returned to the room"
"selective attention","process by which one input is selected to focus on out of the field of possibilities in the environment"
"selective priming","being predisposed to observe something because it has previously been encountered frequently or is expected"
"self-actualization (actualizing tendency)","according to humanistic psychology, individuals have an innate drive to maintain and enhance themselves, or realize their human potential, as long as no obstacle intervenes"
"self-concept (self-identity)","broadly defined as the sum of an individuals' knowledge and understanding of his-or her-self including physical, psychological, and social attributes, which can be influenced by the individual's attitudes, habits, beliefs, and ideas"
"self-consciousness","awareness of one's self"
"self-efficacy","belief in one's own competence and effectiveness"
"self-esteem","one's overall self-evaluation of one's self-worth"
"self-fulfilling prophecy","when stereotypes lead a person to behave in such as way as to affirm the original stereotypes"
"self-handicapping","strategy in which people create obstacles and excuses to avoid self-blame when they do poorly"
"self-reference effect","tendency to better remember information relevant to ourselves"
"self-schemas","beliefs and ideas people have about themselves"
"self-serving bias","tendency to attribute our successes to ourselves and our failures to others or the external environment"
"semantic memory","memory for factual information"
"semicircular canals","three loop-like structures in the inner ear that contain sensory receptors to monitor balance"
"sensitization","an increase in the strength of a response with repeated presentations of a stimulus"
"sensorimotor stage","first stage of piaget's developmental theory from birth to age 2 where babies learn object permanence and demonstrate stranger anxiety"
"sensory memory","initial recording of sensory information in the memory system; sensory memory is a very brief snapshots that quickly decay"
"serial position effect","includes primacy and recency effect and when information is presented serially in a list format, individuals are more likely to recall the first and last items presented"
"shaping","in operant conditioning, the process of reinforcing intermediate, proximal behaviors until a final, desired behavior is achieved"
"short-term memory","memory that is limited in duration and in capacity"
"signal detection theory","theory that attempts to predict how and when someone will detect the presence of a given sensory stimuli (""signal"") amidst all of the other sensory stimuli in the background (considered the noise). There are four possible outcomes: a hit (signal is present and was detected), a miss (signal was present but not detected), a false alarm (signal was not present but the person thought it was), and a correct rejection (signal was not present and the person did not think it was)."
"B.F. Skinner","coined the term ""operant conditioning."" He is famous for his ""Skinner Box"" in which he used reinforcements to shape animal behavior"
"sleep apnea","sleep disorder in which the individual intermittently stops breathing during sleep and may wake up gasping for breath"
"sleep cycle","one sleep cycle consists of a progression through sleep stages 1-4 in sequence, followed by an ascension from 4 to 1 and then a transition into REM sleep and it typically takes about 90 minutes"
"sleep spindle","bursts of waves present in stage 2 sleep"
"social behaviorism","idea that the mind and self emerge through the process of communicating with others"
"social capital","potential for social networks to allow for upward social mobility"
"social cognition","ability of brain to store and process information regarding social perception"
"social cognitive perspective","personality is formed by a reciprocal interaction among behavioral, cognitive, and environmental factors"
"social construct","social mechanism or practice that is constructred by society; essentially everyone in society agrees to treat a certain aspect a certain way regardless of its inherent value"
"social constructionsim","sociological theory that argues that people actively shape their reality through social interactions; it is therefore something that is constructed and not inherent. Social constructionism looks to uncover the ways in which individuals and groups participate in the construction of their perceived social reality"
"social cues","verbal or nonverbal hints that guide social interactions"
"social dysfunction","process that has undesirable consequences and may actually reduce the stability of society"
"social epidemiology","study of the distribution of health and disease across a population, with the focus on using social concepts to explain patterns of health and illness in a population"
"social facilitation effect","phenomenon that describes how people tend to perform simple, well-learned tasks better when other people are present"
"social facts","elements that serve some function in society, such as the laws, morals, values, religions, customs, rituals, and rules that make up a society"
"social identity","social definitions of self, including a race, religion, gender, occupation, and the like"
"social institutions","complex of roles, norms, and values organized into a relatively stable form that contributes to social order by governing the behavior of people. Social institutions provide predictability and organization of individuals within a society, and mediate social behavior between people"
"social loafing","phenomenon where people tend to exert less effort if they are being evaluated as a group than if they are individually accountable"
"social mobility","ability to move up or down within the social stratification system"
"social network","web of social relationships, including those in which a person is directly linked to others as well as those in which people are indirectly connected through others"
"social perception","ability to understand others in our social world; the initial information we process about other people in order to try to understand their mindsets and attentions"
"specific phobia","persistent, strong, and unreasonable fear of a certain object or situation. Specific phobias are classified into 4 types: situational, natural environment, blood-injection, animal"
"social reproduction","structures and activities in place in a society that serve to transmit and reinforce social inequality from one generation to the next - cultural and social capital are two mechanisms by which social reproduction occurs"
"social roles","expectations for people of a given social status"
"social stratification","way that people are categorized in society; people can be categorized by race, education, wealth, and income (among other things)"
"social support","perception that one is cared for and part of a social network; supportive resources can be tangible or emotional"
"socialism","economic system where resources and production are collectively owned. Socialism includes a system of production and distribution designed to satisfy human needs (goods/services are produced for direct use instead of for profit)."
"socialization","process through which people learn to be proficient in members of society; a lifelong process where people learn the attitudes, values, and beliefs that are reinforced by a particular culture"
"society","group of people who share a culture and live/interact with each other within a definable area"
"sociobiology","study of how biology and evolution have affected human social behavior. Primarily, it applies Darwin's principle of natural selection to social behavior, suggesting there is a biological basis for many behaviors"
"SES","often defined in terms of power, property, prestige because these three concepts tend to be related in U.S. society"
"sociology","study of how individuals interact with, shape, and are subsequently shaped by, the society in which they live"
"social phobia","unreasonable, paralyzing fear of feeling embarrassed or humiliated while one is watched by others, even while performing routing activities such as eating in public or using a public restroom"
"soma","cell body of a neuron"
"somatization disorder","characterized by a variety of physical symptoms over an extended period of time, including: pain, GI, sexual, and pseudoneurological symptoms"
"somatoform disorder","characterized primarily by physical symptoms and concerns, which many mimic physical (somatic) disease. However, the symptoms are not explainable medically and do not improve with medical treatment"
"somnambulism","sleepwalking"
"source monitoring error","specific type of error of recollection where a memory is incorrectly attributed to the wrong source"
"source traits","factors underlying human personality and behavior"
"spatial summation","integration by a postsynaptic neuron of inputs (EPSPs and IPSPs) from multiple sources"
"spontaneous recovery","classical conditioning, a reoccurrence of a previously extinct conditioned response in the presence of a conditioned stimulus and often occurs after a period of time has passed since the initial extinction of the response"
"spotlight model","model for visual attention, with a spotlight representing one's attention and its ability to unlock from a current target, move focus, and lock onto a new target"
"spreading activation theory","theory of information retrieval that involves a search process where specific nodes are activated, which leads to the activation of related nodes, and so on. A node doesn't become activated until it receives input signals from its neighbors that are strong enough to reach a response threshold. The effect of input signals is cummulative: the response threshold is reached by the summation of input signals from multiple nodes"
"state","situational factors that can influence personality and behavior; states are unstable, temporary, and variable"
"state capitalism","system in which companies are privately run, but work closely with the government in forming laws and regulations"
"status","sociological term that refers to all the socially defined positions within a society"
"stereotypes","oversimplified ideas about groups of people, based on characteristics (race, gender, sexual orientation, religion, disability). Stereotypes can be positive or negative"
"stereotype threat","refers to a self-fulfilling fear that one will be evaluated based on a negative stereotype"
"steroid hormone","hormone derived from cholesterol. Steroids are generally hydrophobic and can easily cross the plasma membrane of cells, thus receptors for steroids are found intracellularly. Once the steroid binds to the receptor, the receptor-steroid complex acts to regulate transcription in the nucleus"
"stigma","extreme disapproval of a person or a group based on the person or groups actual or perceived deviance from society"
"stimulants","class of drugs that speed up body functions and neural activity and includes caffeine, nicotine, cocaine, and amphetamines"
"stranger anxiety","developmentally typical anxiety displayed by children from approximately 8 to 12 months of age toward close contact with strangers. May be expressed by crying and clinging to familiar caregivers"
"subculture","segment of society that shares a distinct pattern of traditions and values that differs from that of the larger society"
"sucking reflex","in response to anything touching the roof of the baby's mouth, it will begin to suck"
"summation","integration of input (EPSPs and IPSPs) from many presynaptic neurons by a single postsynaptic neuron, either temporally or spatially. Summation of input can either stimulate the postsynaptic neuron and possibly lead to an action potential, or it can inhibit the neuron, reducing the likelihood of an action potential"
"superego","in Freud's psychoanalytic theory and it inhibits the id and influences the ego to follow moralistic behavior rather than realistic goals. Based on societal values as learned from one's parents, the superego makes judgments of right and wrong and strives for perfection. The superego seeks to gain psychological rewards such as feelings of pride and self-love, and to avoid psychological punishment such as feelings of guilty and inferiority"
"symbolic culture","consists of symbols that carry a particular meaning and are recognized by people of the same culture. These symbols can communicate the values and norms of the culture"
"symbolic interactionism","micro-level theory in sociology, which examines the relationship between individuals and society by focusing on communication, the exchange of information through language and symbols. Symbolic interactionism suggests that the mind and self emerge through the social process of communication or use of symbols"
"SNS","subdivision of the ANS directing what is known as flight or fight response to prepare the body for action. It increases heart rate, blood pressure, and blood sugar levels and directs the adrenal glands to release stress hormones"
"synapse","neuron-to-neuron, neuron-to-organ, or muscle-to-muscle cell junction"
"synaptic cleft","microscopic space between the axon of one neuron and the cell body or dendrites of a second neuron or between the axon of a neuron and an organ"
"temperament","dispositional emotional excitability. Tends to be fairly stable through life span"
"telencephalon","cerebral hemispheres"
"temporal summation","summation by a postsynaptic cell of input (EPSPs or IPSPs) from a single source over time"
"thalamus","central structure of the diencephalon of the brain. thalamus acts as a relay station and major integrating area for sensory impulses"
"thermoreceptor","receptor that responds to changes in temperature"
"theta waves","waves of low to moderate intensity and intermediate frequency present during stage 1 of sleep"
"tonic neck reflex","in response to its head being turned to one side, a baby will stretch out its arm on the same side and the opposite arm bends up at the elbow and this reflex lasts about six to seven months"
"top-down processing","type of info processing that occurs when the brain applies experience and expectations to interpret sensory information; note that the brain in fact uses a combination of bottom-up processing and top-down processing"
"trait","internal, stable, and enduring aspects of personality that should be consistent across most situations"
"traditional authority","form of leadership where power is due to custom, tradition, or accepted practice"
"trial and error","strategy of problem-solving that involves trying different alternatives sequentially until success is achieved"
