tag1,tag2,subsection,term,definition
Psychology,Disorders,"Mood, anxiety, and OCD-related disorders",anxiety disorder,"emotional state of unpleasant physical and mental arousal; a preparation to fight or flee. in a person with an anxiety disorder, the anxiety is intense, frequent, irrational (out of proportion), and uncontrollable; it causes significant distress or impairment of normal functioning"
Psychology,Disorders,"Mood, anxiety, and OCD-related disorders",bipolar disorder,"cyclic mood episodes at both extremes/poles (depression and mania). In bipolar I disorder, and person has experienced at least one manic episode or mixed and in bipolar II, the manic phases are less extreme"
Psychology,Disorders,"Mood, anxiety, and OCD-related disorders",bipolar neuron,"a neuron with a single axon and a single dendrite, often projecting from opposite sides of the cell body. bipolar neurons are typically associated with sensory organs"
Psychology,Disorders,"Mood, anxiety, and OCD-related disorders",body dysmorphic disorder,"characterized with preoccupation with a slight physical anomaly or imagined defect in appearance, often involving the face, hairs, breasts, or genitalia"
Psychology,Disorders,"Mood, anxiety, and OCD-related disorders",cyclothymic disorder,"disorder similar to bipolar disorder but the moods are less extreme and the person has experienced cyclic moods, including many hypomanic episodes, as well as many episodes of depressed mood that are milder than a major depressive episode for at least two years"
Psychology,Disorders,"Mood, anxiety, and OCD-related disorders",dysthymic disorder,"characterized as a less intense, chronic form of depression and a person has felt milder symptoms of depression most days for at least two years, with symptoms never absent for more than two months, and without experiencing a major depressive episode"
Psychology,Disorders,"Mood, anxiety, and OCD-related disorders",generalized anxiety disorder (GAD),"characterized by tension or anxiety much of the time about many issues, but without the presences of panic attacks"
Psychology,Disorders,"Mood, anxiety, and OCD-related disorders",major depressive disorder,"characterized by one or more major depressive episodes, where a person has felt worse than usual for most of the day, nearly every day, for at least two weeks"
Psychology,Disorders,"Mood, anxiety, and OCD-related disorders",mood disorder,"characterized by a persistent pattern of abnormal mood serious enough to cause significant personal distress and/or significant impairment to social, occupational, or personal functioning"
Psychology,Disorders,"Mood, anxiety, and OCD-related disorders",obsessive-compulsive disorder (OCD),"characterized by obsessions (repeated, intrusive, uncontrollable thoughts or impulses that cause distress or anxiety), compulsions (repeated physical or mental behaviors that are done in response to an obsession or in accordance with a set of strict rules, in order to reduce distress or prevent something dreaded from occurring), or both"
Psychology,Disorders,"Mood, anxiety, and OCD-related disorders",panic disorder,"characterized by panic attacks, which can be cued by a certain situation, but are more often uncued or ""spontaneous,"" occurring frequently and unexpectedly"
Psychology,Disorders,"Mood, anxiety, and OCD-related disorders",schizoaffective disorder,"characterized by the combination of mood and psychotic symptoms: in this disorder, both the symptoms of SZC and Major depressive, manic, or mixed episode are experienced for at least one month"
Psychology,Disorders,"Mood, anxiety, and OCD-related disorders",specific phobia,"persistent, strong, and unreasonable fear of a certain object or situation. Specific phobias are classified into 4 types: situational, natural environment, blood-injection, animal"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,acetylcholine (ACh),"the neurotransmitter used at the neuromuscular junction, throughout the PNS and by the preganglionic neurons of the SNS"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,adrenal cortex,outer region of the adrenal gland. the adrenal cortex produces cortisol in response to long-term chronic stress and aldosterone in response to low blood pressure and blood osmolarity
Psychology,Neuroscience,Neuroanatomy & nervous system structure,adrenal medulla,"inner region of the adrenal gland, and part of the SNS and releases epinephrine and norepinephrine into the bloodstream when stimulated. Epi and norepi. prolong and enhance the effect of the sympathetic stimulation on the body"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,adrenocorticotropic hormone (ACTH),"a tropic hormone produced by the anterior pituitary gland that targets the adrenal cortex, stimulating it to release cortisol and aldosterone"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,alpha waves,"low amplitude, high frequency brain waves present in a relaxed state. alpha waves are the first indicator that a person is ready to drift off to sleep"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,amygdala,almond-shaped structure deep within the brain that orchestrates emotional experiences
Psychology,Neuroscience,Neuroanatomy & nervous system structure,anterior pituitary gland,"adenohypophysis and is made of glandular tissue and it makes and secretes six different hormones: FSH, LH, ACTH, TSH, prolactin, and growth hormone. it is controlled by releasing and inhibiting factors from the hypothalamus"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,auditory cortex,area of the temporal lobe responsible for processing sound information
Psychology,Neuroscience,Neuroanatomy & nervous system structure,autonomic ANS,division of the PNS that innervates and controls the visceral organs (everything but the skeletal muscles). It is also known as the involuntary nervous system and can be subdivided into sympathetic and parasympathetic branches
Psychology,Neuroscience,Neuroanatomy & nervous system structure,axon,long projection off the cell body of a neuron down which an action potential can be propagated
Psychology,Neuroscience,Neuroanatomy & nervous system structure,basal nuclei,known as basal ganglia and these structures in the brain help to smooth coordinated movements by inhibiting excess movement
Psychology,Neuroscience,Neuroanatomy & nervous system structure,biofeedback,"means of recording and feeding back information about subtle autonomic responses to an individual in an attempt to train the individual to control previously involuntary responses (for example, muscle tension, heart rate, respiratory rate)"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,bottom-up processing,type of sensory processing that begins with the sensory receptors and works up to the complex integration of information occurring in the brain; note that the brain in fact uses a combination of bottom-up processing and top-down processing
Psychology,Neuroscience,Neuroanatomy & nervous system structure,Broca's area,"region of the brain located in the left-hemisphere of the frontal lobe. Involved with speech production and damage to this part of the brain results in Broca's aphasia, where individuals know what they want to say but are unable to express it verbally"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,central nervous system,subdivision of the nervous system consisting of the brain and the spinal cord
Psychology,Neuroscience,Neuroanatomy & nervous system structure,cerebellum,region of the brain that coordinates and smoothes skeletal muscle activity
Psychology,Neuroscience,Neuroanatomy & nervous system structure,cerebral cortex,"thin (4 mm) layer of gray matter on the surface of the cerebral hemispheres. it is the conscious mind, and is functionally divided into four lobes: frontal, parietal, temporal, and occipital"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,cerebrospinal fluid (CSF),a clear fluid that circulates around and through the brain and spinal cord. CSF helps to physically support the brain and acts as a shock absorber. It also exchanges nutrients and wastes with the brain and spinal cord.
Psychology,Neuroscience,Neuroanatomy & nervous system structure,chemical synapse,"type of synapse at which a chemical (NT) is released from the axon of a neuron into the synaptic cleft, where it binds to receptors on the next structure (either another neuron or an organ)"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,corpus callosum,largest bundle of white matter (axons) connecting the two cerebral hemispheres
Psychology,Neuroscience,Neuroanatomy & nervous system structure,cortisol,"steroid hormone is released during chronic stress; it shifts the body's use of fuel from glucose toward fats and proteins, thus ""sparing"" glucose for the brain's use. Prolonged release of cortisol is associated with suppressed immunity and increased susceptibility to illness"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,dendrite,projection off the cell body of a neuron that receives nerve impulses from a different neuron and sends the impulse to the cell body. Neurons can have one or several dendrites
Psychology,Neuroscience,Neuroanatomy & nervous system structure,diencephalon,portion of the forebrain that includes the thalamus and hypothalamus
Psychology,Neuroscience,Neuroanatomy & nervous system structure,effector,organ that carries out the command sent along a particular motor neuron
Psychology,Neuroscience,Neuroanatomy & nervous system structure,efferent neurons,neuron that carries information (action potentials) away from the CNS; a motor neuron
Psychology,Neuroscience,Neuroanatomy & nervous system structure,electrical synapse,"type of synapse in which the cells are connected by gap junctions, allowing ions (and therefore the action potentials) to spread easily from cell to cell"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,Electroencephalogram (EEG),recording of electrical impulses in the brain
Psychology,Neuroscience,Neuroanatomy & nervous system structure,epinephrine,hormone produced and secreted by the adrenal medulla that prolongs and increases the effects of the SNS
Psychology,Neuroscience,Neuroanatomy & nervous system structure,ganglion,clump of gray matter (unmyelinated neuron cell bodies) found in the PNS
Psychology,Neuroscience,Neuroanatomy & nervous system structure,gestalt psychology,"theory that the brain processes information in a holistic manner; specifically, for visual information, the brain tends to make assumptions in order to detect the whole, instead of serially processing all of the individual parts"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,gray matter,unmyelinated neuron cell bodies and short unmyelinated axons
Psychology,Neuroscience,Neuroanatomy & nervous system structure,hypothalamus,"brain structure located above the brain stem that is involved in many autonomic processes including body temperature, hunger, thirst, fatigue, and sleep. It is also involved in the physiological aspects of emotion, including sweating and increased heart rate"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,interneuron,"neuron found completely within the CNS. Interneurons typically connect sensory and motor neurons, especially in reflex arcs"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,medulla oblongata,"portion of the hindbrain that controls respiratory rate and blood pressure, and specialized digestive and respiratory functions such as vomiting, sneezing, and coughing"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,meninges,"protective connective tissue wrappings of the central nervous system (dura mater, arachnoid mater, and pia mater)"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,midbrain,portion of the brain responsible for visual and auditory startle reflexes
Psychology,Neuroscience,Neuroanatomy & nervous system structure,multipolar neuron,neuron with a single axon and multiple dendrites; the most common type of neuron is the nervous system
Psychology,Neuroscience,Neuroanatomy & nervous system structure,myelin,insulating layer of membranes wrapped around the axons of almost all neurons in the body. Myelin is essentially the plasma membranes of specialized cells. In the PNS they are Schwann cells and in the CNS they are oligodendrocytes
Psychology,Neuroscience,Neuroanatomy & nervous system structure,neural plasticity,"process that refers to the malleability of the brain's pathways and synapses based on behavior, the environment, and neural processes"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,neuron,basic functional and structural unit of the nervous system. Neuron is highly specialized cell designed to transmit action potentials
Psychology,Neuroscience,Neuroanatomy & nervous system structure,neurotransmitter,"chemical released by the axon of a neuron in response to an action potential that binds to receptors on the postsynaptic cell and causes that cell to either depolarize slightly (EPSP) or hyperpolarize slightly (IPSP). Examples are ACth, norepinephrine, GABA, dopamine, and others."
Psychology,Neuroscience,Neuroanatomy & nervous system structure,nocireceptors,pain receptors that are found everywhere in the body except the brain
Psychology,Neuroscience,Neuroanatomy & nervous system structure,nodes of Ranvier,"gaps in the myelin sheath of the axons of peripheral neurons. Action potentials can ""jump"" from node to node, thus increasing the speed the conduction (saltatory conduction)."
Psychology,Neuroscience,Neuroanatomy & nervous system structure,norepinephrine (NE),neurotransmitter used by the sympathetic division of the autonomic nervous system at the post-ganglionic (organ-level) synapse
Psychology,Neuroscience,Neuroanatomy & nervous system structure,optic nerve,nerve extending from the back of the eyeball to the brain that carries visual information and is made up of axons of the ganglion cells of the retina
Psychology,Neuroscience,Neuroanatomy & nervous system structure,posterior pituitary gland,"neurohypophysis, made of nervous tissue (neurons) and stores and secretes two hormones made by the hypothalamus: oxytocin and ADH. The posterior pituitary is controlled by action potentials from the hypothalamus"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,postganglionic neuron,"autonomic division of the PNS, a neuron that has its cells body located in an autonomic ganglion (where a preganglionic neuron synapses with it), and whose axon synapses with the target organ"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,prefrontal cortex,"aneterior part of the frontal lobes of the brain involved in complex behaviors such as planning, sequencing, social responses, and decision making. Directs behavioral aspects of emotion including approach and avoidance behaviors. Damage to this area may lead to inappropriate social behavior, impulsivity, and trouble with initiation"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,preganglionic neuron,"autonomic division of the PNS, and the neuron has its cell body located in the CNS, and whose axon extends into the PNS to synapse with a second neuron at an autonomic ganglion (second neuron's axon synapses with the target organ)"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,reflex arc,"relatively direct connection between a sensory neuron and a motor neuron that allows an extremely rapid response to a stimulus, often without conscious brain involvement"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,reticular formation,Reticular Activating System and structures in the brainstem that are important for alterness and arousal (as in wakefulness)
Psychology,Neuroscience,Neuroanatomy & nervous system structure,saltatory conduction,rapid form of action potential conduction along the axod of a neuron in which the action potential appears to jump from node of Ranvier to node of Ranvier
Psychology,Neuroscience,Neuroanatomy & nervous system structure,Schwann cell,one of the two peripheral nervous system supporting (glial) cells. Schwann cells form the myelin sheath on axons of peripheral neurons
Psychology,Neuroscience,Neuroanatomy & nervous system structure,social cognition,ability of brain to store and process information regarding social perception
Psychology,Neuroscience,Neuroanatomy & nervous system structure,spatial summation,integration by a postsynaptic neuron of inputs (EPSPs and IPSPs) from multiple sources
Psychology,Neuroscience,Neuroanatomy & nervous system structure,summation,"integration of input (EPSPs and IPSPs) from many presynaptic neurons by a single postsynaptic neuron, either temporally or spatially. Summation of input can either stimulate the postsynaptic neuron and possibly lead to an action potential, or it can inhibit the neuron, reducing the likelihood of an action potential"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,synapse,"neuron-to-neuron, neuron-to-organ, or muscle-to-muscle cell junction"
Psychology,Neuroscience,Neuroanatomy & nervous system structure,synaptic cleft,microscopic space between the axon of one neuron and the cell body or dendrites of a second neuron or between the axon of a neuron and an organ
Psychology,Neuroscience,Neuroanatomy & nervous system structure,thalamus,central structure of the diencephalon of the brain. thalamus acts as a relay station and major integrating area for sensory impulses
Psychology,Neuroscience,Neuroanatomy & nervous system structure,top-down processing,type of info processing that occurs when the brain applies experience and expectations to interpret sensory information; note that the brain in fact uses a combination of bottom-up processing and top-down processing
Psychology,Neuroscience,Neuroanatomy & nervous system structure,visual cortex,area of the occipital lobe responsible for processing visual information
Psychology,Neuroscience,Neuroanatomy & nervous system structure,Wernicke's area,"area of the brain, located in the posterior section of the temporal lobe in the language dominant hemisphere of the brain (left for most people), that is involved with the comprehension of speech and written language. Individuals with damage to this area are unable to understand language and produce nonsensical sounds with the same rhythm and syntax as speech"
Psychology,Neuroscience,Neurochemistry & signaling,acetylcholinesterase,the enzyme that breaks down ACh in the synaptic cleft
Psychology,Neuroscience,Neurochemistry & signaling,aqueous humor,"thin, watery fluid found in the anterior segment of the eye (between lens and cornea). The aqueous humor is constantly produced and drained, and helps brings nutrients to the lens and cornea, as well as remove metabolic wastes"
Psychology,Neuroscience,Neurochemistry & signaling,avoidance learning,process by which one learns to perform a behavior in order to ensure that a negative or aversive stimulus will not be present
Psychology,Neuroscience,Neurochemistry & signaling,Babinski reflex,"in response to the sole of the foot being stroked, a baby's big toe moves upward or toward the top surface of the foot and the other toes fan out"
Psychology,Neuroscience,Neurochemistry & signaling,baroreceptor,"sensory receptor that responds to the changes in pressure, for example, there are baroreceptors on the carotid arteries and the aortic arch that monitor blood pressure"
Psychology,Neuroscience,Neurochemistry & signaling,chemoreceptor,"sensory receptor that responds to specific chemicals. Some examples are gustatory, olfactory, and central chemoreceptors which respond to changes in CSF pH"
Psychology,Neuroscience,Neurochemistry & signaling,classical conditioning,process in which two stimuli are paired in a way that changes a response to one of them
Psychology,Neuroscience,Neurochemistry & signaling,conditioned response,a previously unconditioned response to an unconditioned stimulus that has become a learned response to a conditioned stimulus
Psychology,Neuroscience,Neurochemistry & signaling,conditioned stimulus,originally a neutral stimulus that is paired with an unconditioned stimulus until it can produce the conditioned response without the unconditioned stimulus being present
Psychology,Neuroscience,Neurochemistry & signaling,confirmation bias,tendency to search only for information that confirms a preconceived conclusion
Psychology,Neuroscience,Neurochemistry & signaling,deindividuation,an explanation of people's startling and often uncharacteristic behavior when situations provide a high degree of arousal and a very low sense of responsibility
Psychology,Neuroscience,Neurochemistry & signaling,disorganized type SCZ,"characterized by psychosis in the form of flat or inappropriate affect, disorganized speech, and disorganized behavior"
Psychology,Neuroscience,Neurochemistry & signaling,electromyogram (EMG),recording of skeletal muscle movements
Psychology,Neuroscience,Neurochemistry & signaling,endocrine gland,ductless gland that secretes hormones into the blood
Psychology,Neuroscience,Neurochemistry & signaling,EPSP,"excitatory postsynaptic potential; a slight depolarization of a postsynaptic cell, bringing the membrane potential of a cell closer to the threshold for an action potential"
Psychology,Neuroscience,Neurochemistry & signaling,executive functions,"higher order thinking processes that include planning, organizing, inhibition, and decision making"
Psychology,Neuroscience,Neurochemistry & signaling,genotype,genetic makeup of an organism
Psychology,Neuroscience,Neurochemistry & signaling,gonadotropins,anterior pituitary tropic hormones; follicle stimulating hormone (FSH) and leutenizing hormone (LH) stimulate the gonads (ovaries and testes) to produce gametes and to secrete sex steroids
Psychology,Neuroscience,Neurochemistry & signaling,humanistic psychology,"perspective developed partially in response to Freud's psychoanalytic theory, which emphasizes an individual's inherent drive toward self-actualization. Carl Rogers is most associated with humanistic psychology"
Psychology,Neuroscience,Neurochemistry & signaling,hypophysis,pituitary gland
Psychology,Neuroscience,Neurochemistry & signaling,insight learning,sudden flash of inspiration that provides solution to a problem (AHA moment where previously learned ideas or behaviors are suddenly combined in unique ways)
Psychology,Neuroscience,Neurochemistry & signaling,intelligence,"ability to learn from experience, problem solve, and use knowledge to adapt to new situations"
Psychology,Neuroscience,Neurochemistry & signaling,IPSP,"inhibitory postsynaptic potential; a slight hyperpolarization of a postsynaptic cell, moving the membrane potential of that cell further from threshold"
Psychology,Neuroscience,Neurochemistry & signaling,learned helplessness,"condition where one has learned to behave helplessly, failing to respond even though there are opportunities to avoid unpleasant circumstances or gain positive rewards"
Psychology,Neuroscience,Neurochemistry & signaling,melatonin,hormone produced by the pineal gland that affects sleep/wake cycles and seasonal functions
Psychology,Neuroscience,Neurochemistry & signaling,neutral stimulus,stimulus that doesn't elicit any intrinsic response in the absence of outside interference
Psychology,Neuroscience,Neurochemistry & signaling,nucleus accumbens,"structure located in the brainstem and part of the dopaminergic reward pathway. Releases dopamine in response to many drugs, contributing to addictive behavior"
Psychology,Neuroscience,Neurochemistry & signaling,palmar grasp reflex,"in response to stroking a baby's palm, the baby's hand will grasp and the reflex lasts a few months"
Psychology,Neuroscience,Neurochemistry & signaling,prolactin,"hormone secreted by the anterior pituitary that targets the mammary glands, stimulating them to produce milk"
Psychology,Neuroscience,Neurochemistry & signaling,proprioceptor,"receptor that responds to changes in the body position, such as stretch on a tendon, or contraction of a muscle. The receptors allow us to be consciously aware of the position of our body parts"
Psychology,Neuroscience,Neurochemistry & signaling,rapid-eye movement (REM),bursts of quick eye movements present in the last stage of sleep
Psychology,Neuroscience,Neurochemistry & signaling,retention interval,amount of time elapsed since information was learned and when it must be recalled
Psychology,Neuroscience,Neurochemistry & signaling,sclera,white portion of the tough outer layer of the eyeball
Psychology,Neuroscience,Neurochemistry & signaling,semicircular canals,three loop-like structures in the inner ear that contain sensory receptors to monitor balance
Psychology,Neuroscience,Neurochemistry & signaling,stereotype threat,refers to a self-fulfilling fear that one will be evaluated based on a negative stereotype
Psychology,Neuroscience,Neurochemistry & signaling,steroid hormone,"hormone derived from cholesterol. Steroids are generally hydrophobic and can easily cross the plasma membrane of cells, thus receptors for steroids are found intracellularly. Once the steroid binds to the receptor, the receptor-steroid complex acts to regulate transcription in the nucleus"
Psychology,Neuroscience,Neurochemistry & signaling,SNS,"subdivision of the ANS directing what is known as flight or fight response to prepare the body for action. It increases heart rate, blood pressure, and blood sugar levels and directs the adrenal glands to release stress hormones"
Psychology,Neuroscience,Neurochemistry & signaling,thermoreceptor,receptor that responds to changes in temperature
Psychology,Neuroscience,Neurochemistry & signaling,tonic neck reflex,"in response to its head being turned to one side, a baby will stretch out its arm on the same side and the opposite arm bends up at the elbow and this reflex lasts about six to seven months"
Psychology,Neuroscience,Neurochemistry & signaling,tympanic membrane,membrane that separates the outer ear from the middle ear and the tympanic membrane is also known as the eardrum
Psychology,Neuroscience,Neurochemistry & signaling,vagus nerves,cranial nerve pair X. Vagus nerves are very large mixed nerves (they carry both sensory input and motor output) that innervate virtually every visceral organ. They are especially important in transmitting PS input to the heart and the digestive smooth muscle
Psychology,Neuroscience,Neurochemistry & signaling,white matter,myelinated axons
Psychology,Disorders,Personality & psychotic spectrum disorders,antisocial personality disorder,"psychological disorder characterized by a history of serious behavior problems beginning in adolescence, including significant aggression against people or animals, deliberate property destruction, lying or theft, and serious rule violation"
Psychology,Disorders,Personality & psychotic spectrum disorders,avoidant personality disorder,"characterized by feelings of inadequacy, inferiority, and undesirability, and a preoccupation with fears of criticism"
Psychology,Disorders,Personality & psychotic spectrum disorders,dependent personality disorder,characterized by a need to be taken care of by others and an unrealistic fear of being unable to take care of himself or herself
Psychology,Disorders,Personality & psychotic spectrum disorders,depersonalization disorder,"characterized by a recurring or persistent feeling of being cut off or detached from one's body or mental processes, as if observing one's self from the outside"
Psychology,Disorders,Personality & psychotic spectrum disorders,Diagnostic and Statistical Manual of Mental Disorders (DSM),universal authority on the classification and diagnosis of psychological disorders; the current latest edition is the fifth edition of the DSM
Psychology,Disorders,Personality & psychotic spectrum disorders,dissociative identity disorder,"characterized by alternating between two or more distinct personality states (identities), only one of which interacts with other people at any one time"
Psychology,Disorders,Personality & psychotic spectrum disorders,hippocampus,"brain structure located in the medial temporal lobe of the brain and plays a key role in forming memories. Damage to this part of the brain can lead to an inability to form new memories, or anterograde amnesia"
Psychology,Disorders,Personality & psychotic spectrum disorders,histrionic personality disorder,"characterized by a strong desire to be the center of attention, and seeking to attract attention through personal appearance and seductive behavior"
Psychology,Disorders,Personality & psychotic spectrum disorders,narcisstic personality disorder,"psychological disorder characterized by feeling of grandiosity, with fantasies of beauty, brilliance, and power"
Psychology,Disorders,Personality & psychotic spectrum disorders,obsessive-compulsive personality disorder (OCPD),characterized by accumulation of money of worthless objects
Psychology,Disorders,Personality & psychotic spectrum disorders,schizoid personality disorder,"characterized by little interest or involvement in close relationships, even those with family members"
Psychology,Disorders,Personality & psychotic spectrum disorders,schizophreniform disorder,"characterized by symptoms of SCZ present for a period of one to six months, during which the symptoms may or may not have interfered with functioning"
Psychology,Disorders,Personality & psychotic spectrum disorders,schizotypal personality disorder,"characterized by several traits that cause problems interpersonally, including constricted or inappropriate affect; magical or paranoid thinking; and odd beliefs, speech, behavior, appearance, and perceptions"
Psychology,Neuroscience,Sensation & perception,auditory tube,Eustachian tube that connects the middle ear cavity with the pharynx and it functions to equality middle ear pressure with atmospheric pressure so that pressure on both sides of the tympanic membrane is equal
Psychology,Neuroscience,Sensation & perception,basilar membrane,flexible membrane in the cochlea that supports the organ of Corti (structure that contains the hearing receptors). the fibers of the basilar membrane are short and stiff near the oval window and long and flexible near the apex of the cochlea. This difference in structure helps the basilar membrane to transduce pitch
Psychology,Neuroscience,Sensation & perception,choroid,"darkly-pigmented middle layer of the eyeball, found between the sclera (outer layer) and the retina (inner layer)"
Psychology,Neuroscience,Sensation & perception,ciliary muscle,muscle that helps focus light on the retina by controlling the curvature of the lens of the eye
Psychology,Neuroscience,Sensation & perception,cochlea,curled structure in the inner ear that contains the membranes and hair cells used to transduce sounds waves into action potentials
Psychology,Neuroscience,Sensation & perception,cones,photoreceptors in the retina of the eye that respond to bright light and provide color vision
Psychology,Neuroscience,Sensation & perception,cornea,"clear portion of the tough outer layer of the eye-ball, found over the iris and the pupil"
Psychology,Neuroscience,Sensation & perception,dishabituation,restoration to full strength of a response to a stimulus that had previously become weakened through habituation
Psychology,Neuroscience,Sensation & perception,drive,"an urge originating from a physiological discomfort such as hunger, thirst, or sleepiness. Drives can be useful for alerting an organism that it is no longer in a state of homeostasis, an internal state of equilibrium"
Psychology,Neuroscience,Sensation & perception,electrooculogram (EOG),recording of eye movements
Psychology,Neuroscience,Sensation & perception,endocrine system,system of ductless glands that secrete chemical messengers (hormones) into the blood
Psychology,Neuroscience,Sensation & perception,exocrine gland,"gland that secretes its products into a duct, which ultimately carries the product to the surface of the body or into a body cavity. An example of exocrine glands are sweat glands"
Psychology,Neuroscience,Sensation & perception,glucagon,"peptide hormone produced and secreted by the alpha celsl of the pancreas. it primarily targets the liver, stimulating the breakdown of glycogen, thus increasing blood glucose levels"
Psychology,Neuroscience,Sensation & perception,gustatory receptors,chemoreceptors on the tongue that respond to chemicals in food
Psychology,Neuroscience,Sensation & perception,habituation,decrease in response to a stimulus after repeated presentations
Psychology,Neuroscience,Sensation & perception,hair cells,"sensory receptors found in the inner ear. cochlear hair cells respond to vibrations in the cochlea caused by sound waves, and vestibular hair cells respond to changes in position and acceleration (used for balance)"
Psychology,Neuroscience,Sensation & perception,hypochondriasis,characterized by a preoccupation with a fear of having a serious illness
Psychology,Neuroscience,Sensation & perception,inclusive fitness,"theory that suggests that cooperation among organisms (including altruistic behaviors) promotes genetic success, meaning that even if not all of the organisms survive to reproduce, some of their genes will still be passed to the next generation"
Psychology,Neuroscience,Sensation & perception,instinct,behaviors that are unlearned and present in fixed patterns throughout a species
Psychology,Neuroscience,Sensation & perception,iris,"pigmented membrane found just in front of the lens of the eye. In the center of the iris is the pupil, a hole through which light enters the eyeball and the iris regulates the diameter of the pupil in response to the brightness of light"
Psychology,Neuroscience,Sensation & perception,life expectancy,number of years that an individual at a given age can expect to live at present mortality rates
Psychology,Neuroscience,Sensation & perception,mirror neurons,neurons that fire when a particular behavior or emotion is observed in another. May be responsible for vicarious emotions and a foundation for empathy
Psychology,Neuroscience,Sensation & perception,olfactory receptors,chemoreceptors in the upper nasal cavity that respond to odor chemicals
Psychology,Neuroscience,Sensation & perception,optic disk,"blind spot of the eye, this is where the axons of the ganglion cells exit the retina to form the optic nerve. There are no photoreceptors in the optic disk"
Psychology,Neuroscience,Sensation & perception,organ of Corti,"structure in the Cochlea of the inner ear made up of the basilar membrane, the auditory hair cells, and the tectorial membrane. The organ of Corti is the site where auditory sensation is detected and transduced to action potentials"
Psychology,Neuroscience,Sensation & perception,ossicles,"three small bones found in the middle ear (malleus, incus, stapes) that help to amplify the sound vibration from sound waves. The malleus is attached to the tympanic membrane and the stapes is attached to the oval window of the cochlea"
Psychology,Neuroscience,Sensation & perception,outer ear,portion of the ear consisting of the pinna and the external auditory canal. The outer ear is separated from the middle ear by the tympanic membrane (the ear drum)
Psychology,Neuroscience,Sensation & perception,oval window,membrane that separates the middle ear from the inner ear
Psychology,Neuroscience,Sensation & perception,progesterone,steroid hormone produced by the corpus luteum in the ovary during the second half of the menstrual cycle. Progesterone maintains and enhances the uterine lining for the possible implantation of a fertilized ovum. It is the primary hormone secreted during pregnancy
Psychology,Neuroscience,Sensation & perception,pupil,hole in the center of the iris of the that allows light to enter the eyeball. The diameter of the pupil is controlled by the iris in response to the brightness of the eye
Psychology,Neuroscience,Sensation & perception,rational - legal authority,form of leadership that is organized around rational legal rules
Psychology,Neuroscience,Sensation & perception,retina,"innermost layer of the eyeball and is made up of photoreceptors, bipolar cells, and a layer of ganglion cells"
Psychology,Neuroscience,Sensation & perception,rods,photoreceptors of the retina of the eye that respond to dim light and provide us with black and white vision
Psychology,Neuroscience,Sensation & perception,rooting reflex,"in response to touching or stroking one of a baby's cheeks, the baby will turn its head in the direction of the stroke and open its mouth to ""root"" for a nipple"
Psychology,Neuroscience,Sensation & perception,secondary reinforcers,"conditioned reinforcers that are learned through their direct or indirect relationship with primary reinforcers. For example, money is a secondary reinforcer; it is not innately rewarding but we have learned that it can provide access to primary reinforcers"
Psychology,Neuroscience,Sensation & perception,sensitization,an increase in the strength of a response with repeated presentations of a stimulus
Psychology,Neuroscience,Sensation & perception,sucking reflex,"in response to anything touching the roof of the baby's mouth, it will begin to suck"
Psychology,Neuroscience,Sensation & perception,temporal summation,summation by a postsynaptic cell of input (EPSPs or IPSPs) from a single source over time
Psychology,Neuroscience,Sensation & perception,tropic hormone,hormone that controls the release of another hormone
Psychology,Neuroscience,Sensation & perception,universal emotions,"six major emotions that appear to be universal across cultures: happiness, sadness, surprise, fear, disgust, and anger"
Psychology,Neuroscience,Sensation & perception,walking/stepping reflex,"In response to the soles of a baby's feet touching a flat surface, they will attempt to ""walk"" by placing one foot in front of the other. This reflex disappears around 6 weeks and reappears around 8-12 months when a baby learns to walk"
Sociology,Social Behavior,Social Behavior,affirmative action,policies that take factors like race and sex into consideration to benefit underrepresented groups in admissions or job hiring decisions; these policies have been used to benefit those believed to be current or past victims of discrimination
Sociology,Social Behavior,Social Behavior,aggression,"behavior that is forceful, hostile, or attacking. in sociology, aggression is considered something that is intended to cause harm or promote social dominance within a group"
